label,original_label,glue_tokens,mode,score_norm,anchor_score,z_ngram,z_coverage,z_compress
CORRIDOR_PERFECT_000_GLUE0,CORRIDOR_PERFECT_000,0,fixed,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_000_GLUE0,CORRIDOR_PERFECT_000,0,r1,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_000_GLUE0,CORRIDOR_PERFECT_000,0,r2,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_000_GLUE0,CORRIDOR_PERFECT_000,0,r3,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_000_GLUE0,CORRIDOR_PERFECT_000,0,r4,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_000_GLUE0,CORRIDOR_PERFECT_000,0,shuffled,-0.2298023466794139,0.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_000_GLUE1,CORRIDOR_PERFECT_000,1,fixed,-0.2618532724526344,0.6666666666666666,-1.6752989429629517,1.6403565193742373,-0.12038585308576924
CORRIDOR_PERFECT_000_GLUE1,CORRIDOR_PERFECT_000,1,r1,-0.22685327245263437,0.9,-1.6752989429629517,1.6403565193742373,-0.12038585308576924
CORRIDOR_PERFECT_000_GLUE1,CORRIDOR_PERFECT_000,1,r2,-0.2618532724526344,0.6666666666666666,-1.6752989429629517,1.6403565193742373,-0.12038585308576924
CORRIDOR_PERFECT_000_GLUE1,CORRIDOR_PERFECT_000,1,r3,-0.2618532724526344,0.6666666666666666,-1.6752989429629517,1.6403565193742373,-0.12038585308576924
CORRIDOR_PERFECT_000_GLUE1,CORRIDOR_PERFECT_000,1,r4,-0.2618532724526344,0.6666666666666666,-1.6752989429629517,1.6403565193742373,-0.12038585308576924
CORRIDOR_PERFECT_000_GLUE1,CORRIDOR_PERFECT_000,1,shuffled,-0.3618532724526344,0.0,-1.6752989429629517,1.6403565193742373,-0.12038585308576924
CORRIDOR_PERFECT_000_GLUE2,CORRIDOR_PERFECT_000,2,fixed,0.17188283169027896,1.0,-1.4094450483041243,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_000_GLUE2,CORRIDOR_PERFECT_000,2,r1,0.17188283169027896,1.0,-1.4094450483041243,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_000_GLUE2,CORRIDOR_PERFECT_000,2,r2,0.17188283169027896,1.0,-1.4094450483041243,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_000_GLUE2,CORRIDOR_PERFECT_000,2,r3,0.17188283169027896,1.0,-1.4094450483041243,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_000_GLUE2,CORRIDOR_PERFECT_000,2,r4,0.17188283169027896,1.0,-1.4094450483041243,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_000_GLUE2,CORRIDOR_PERFECT_000,2,shuffled,0.02188283169027895,0.0,-1.4094450483041243,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE0,CORRIDOR_PERFECT_001,0,fixed,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE0,CORRIDOR_PERFECT_001,0,r1,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE0,CORRIDOR_PERFECT_001,0,r2,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE0,CORRIDOR_PERFECT_001,0,r3,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE0,CORRIDOR_PERFECT_001,0,r4,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE0,CORRIDOR_PERFECT_001,0,shuffled,-0.2298023466794139,0.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE1,CORRIDOR_PERFECT_001,1,fixed,0.27910041111000305,1.0,-0.8777372589864696,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE1,CORRIDOR_PERFECT_001,1,r1,0.27910041111000305,1.0,-0.8777372589864696,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE1,CORRIDOR_PERFECT_001,1,r2,0.27910041111000305,1.0,-0.8777372589864696,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE1,CORRIDOR_PERFECT_001,1,r3,0.27910041111000305,1.0,-0.8777372589864696,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE1,CORRIDOR_PERFECT_001,1,r4,0.27910041111000305,1.0,-0.8777372589864696,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE1,CORRIDOR_PERFECT_001,1,shuffled,0.1291004111100031,0.0,-0.8777372589864696,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE2,CORRIDOR_PERFECT_001,2,fixed,0.05224857909380666,1.0,-1.6752989429629517,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE2,CORRIDOR_PERFECT_001,2,r1,0.05224857909380666,1.0,-1.6752989429629517,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE2,CORRIDOR_PERFECT_001,2,r2,0.05224857909380666,1.0,-1.6752989429629517,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE2,CORRIDOR_PERFECT_001,2,r3,0.05224857909380666,1.0,-1.6752989429629517,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE2,CORRIDOR_PERFECT_001,2,r4,0.05224857909380666,1.0,-1.6752989429629517,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_001_GLUE2,CORRIDOR_PERFECT_001,2,shuffled,-0.09775142090619336,0.0,-1.6752989429629517,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE0,CORRIDOR_PERFECT_002,0,fixed,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE0,CORRIDOR_PERFECT_002,0,r1,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE0,CORRIDOR_PERFECT_002,0,r2,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE0,CORRIDOR_PERFECT_002,0,r3,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE0,CORRIDOR_PERFECT_002,0,r4,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE0,CORRIDOR_PERFECT_002,0,shuffled,-0.2298023466794139,0.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE1,CORRIDOR_PERFECT_002,1,fixed,0.05224857909380666,1.0,-1.6752989429629517,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE1,CORRIDOR_PERFECT_002,1,r1,0.05224857909380666,1.0,-1.6752989429629517,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE1,CORRIDOR_PERFECT_002,1,r2,0.05224857909380666,1.0,-1.6752989429629517,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE1,CORRIDOR_PERFECT_002,1,r3,0.05224857909380666,1.0,-1.6752989429629517,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE1,CORRIDOR_PERFECT_002,1,r4,0.05224857909380666,1.0,-1.6752989429629517,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE1,CORRIDOR_PERFECT_002,1,shuffled,-0.09775142090619336,0.0,-1.6752989429629517,2.6967639255600013,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE2,CORRIDOR_PERFECT_002,2,fixed,0.8257927380240059,1.0,0.18567831964883943,2.4411814885795744,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE2,CORRIDOR_PERFECT_002,2,r1,0.8257927380240059,1.0,0.18567831964883943,2.4411814885795744,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE2,CORRIDOR_PERFECT_002,2,r2,0.8257927380240059,1.0,0.18567831964883943,2.4411814885795744,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE2,CORRIDOR_PERFECT_002,2,r3,0.8257927380240059,1.0,0.18567831964883943,2.4411814885795744,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE2,CORRIDOR_PERFECT_002,2,r4,0.8257927380240059,1.0,0.18567831964883943,2.4411814885795744,-0.12038585308576924
CORRIDOR_PERFECT_002_GLUE2,CORRIDOR_PERFECT_002,2,shuffled,0.675792738024006,0.0,0.18567831964883943,2.4411814885795744,-0.12038585308576924
CORRIDOR_PERFECT_003_GLUE0,CORRIDOR_PERFECT_003,0,fixed,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_003_GLUE0,CORRIDOR_PERFECT_003,0,r1,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_003_GLUE0,CORRIDOR_PERFECT_003,0,r2,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_003_GLUE0,CORRIDOR_PERFECT_003,0,r3,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_003_GLUE0,CORRIDOR_PERFECT_003,0,r4,-0.07980234667941387,1.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_003_GLUE0,CORRIDOR_PERFECT_003,0,shuffled,-0.2298023466794139,0.0,-1.6752989429629517,2.168560222467119,-0.12038585308576924
CORRIDOR_PERFECT_003_GLUE1,CORRIDOR_PERFECT_003,1,fixed,-0.26759191580400005,1.0,-1.941152837621779,1.8959389563546638,-0.12038585308576924
CORRIDOR_PERFECT_003_GLUE1,CORRIDOR_PERFECT_003,1,r1,-0.26759191580400005,1.0,-1.941152837621779,1.8959389563546638,-0.12038585308576924
CORRIDOR_PERFECT_003_GLUE1,CORRIDOR_PERFECT_003,1,r2,-0.26759191580400005,1.0,-1.941152837621779,1.8959389563546638,-0.12038585308576924
CORRIDOR_PERFECT_003_GLUE1,CORRIDOR_PERFECT_003,1,r3,-0.26759191580400005,1.0,-1.941152837621779,1.8959389563546638,-0.12038585308576924
CORRIDOR_PERFECT_003_GLUE1,CORRIDOR_PERFECT_003,1,r4,-0.26759191580400005,1.0,-1.941152837621779,1.8959389563546638,-0.12038585308576924
CORRIDOR_PERFECT_003_GLUE1,CORRIDOR_PERFECT_003,1,shuffled,-0.41759191580400007,0.0,-1.941152837621779,1.8959389563546638,-0.12038585308576924
