original_label,glue_tokens,delta_vs_shuffled_improvement,delta_vs_windowed_improvement,ngram_change,coverage_change,anchor_preserved
CORRIDOR_SHIFT+3_036,1,0.0,0.0,0.0,0.2726212661124554,True
CORRIDOR_SHIFT+3_036,2,0.0,0.0,1.7280503152823778,1.5846111092786461,True
CORRIDOR_BERLINCLOCK_SHIFT+2_075,1,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.2726212661124552,True
CORRIDOR_BERLINCLOCK_SHIFT+2_075,2,0.0,1.3877787807814457e-17,0.26585389465882736,0.2726212661124552,True
CORRIDOR_SHIFT-2_017,1,0.0,0.0,0.0,0.0,True
CORRIDOR_SHIFT-2_017,2,0.0,0.0,0.26585389465882736,1.0564074061857647,True
CORRIDOR_BERLINCLOCK_SHIFT-1_068,1,0.0,1.3877787807814457e-17,-0.26585389465882736,0.25558243698042693,True
CORRIDOR_BERLINCLOCK_SHIFT-1_068,2,-1.3877787807814457e-17,1.3877787807814457e-17,0.26585389465882736,0.5452425322249108,True
CORRIDOR_EAST_SHIFT+1_048,1,0.0,0.0,0.0,0.5282037030928821,True
CORRIDOR_EAST_SHIFT+1_048,2,0.0,0.0,0.0,0.0,True
CORRIDOR_SHIFT-3_010,1,0.0,0.0,0.0,0.5282037030928819,True
CORRIDOR_SHIFT-3_010,2,0.0,0.0,0.0,0.0,True
CORRIDOR_EAST_SHIFT+1_047,1,0.0,0.0,0.9304886313058959,0.5282037030928821,True
CORRIDOR_EAST_SHIFT+1_047,2,0.0,0.0,0.0,0.0,True
CORRIDOR_NORTHEAST_SHIFT-1_057,1,0.0,0.0,0.0,0.0,True
CORRIDOR_NORTHEAST_SHIFT-1_057,2,-5.551115123125783e-17,-1.1102230246251565e-16,0.7975616839764821,0.0,True
CORRIDOR_SHIFT+2_032,1,0.0,0.0,0.9304886313058958,0.5452425322249101,True
CORRIDOR_SHIFT+2_032,2,0.0,0.0,0.5317077893176547,0.7837861400733088,True
CORRIDOR_BERLINCLOCK_SHIFT-2_064,1,0.0,0.0,0.9304886313058957,0.5282037030928821,True
CORRIDOR_BERLINCLOCK_SHIFT-2_064,2,2.220446049250313e-16,0.0,2.2597581046000323,0.8008249692053382,True
CORRIDOR_SHIFT-2_016,1,0.0,0.0,0.0,-0.5282037030928819,True
CORRIDOR_SHIFT-2_016,2,0.0,0.0,0.26585389465882736,0.5282037030928817,True
CORRIDOR_PERFECT_007,1,0.0,0.0,0.0,0.0,True
CORRIDOR_PERFECT_007,2,0.0,0.0,0.26585389465882736,0.0,True
CORRIDOR_COMBO_SHIFT+1_TYPO_093,1,0.0,0.0,0.0,0.0,True
CORRIDOR_COMBO_SHIFT+1_TYPO_093,2,0.0,0.0,0.0,0.8008249692053371,True
